Conv ID,Result
2,Understatement
3,Positive
4,Positive
11,Undetermined
13,Undetermined
15,Positive
17,Understatement
20,Understatement
22,Undetermined
27,Positive
33,Positive
38,Positive
39,Positive
42,Understatement
46,Positive
48,Understatement
51,Undetermined
53,Undetermined
54,Undetermined
60,Understatement
62,Negative
63,Positive
64,Positive
68,Positive
71,Positive
73,Understatement
76,Positive
77,Undetermined
78,Negative
82,Positive
89,Undetermined
90,Understatement
91,Negative
92,Undetermined
93,Positive
95,Negative
101,Positive
110,Positive
112,Understatement
113,Positive
120,Undetermined
123,Negative
130,Understatement
132,Understatement
138,Positive
140,Undetermined
141,Undetermined
151,Positive
155,Positive
158,Undetermined
161,Positive
163,Positive
168,Undetermined
169,Positive
170,Understatement
172,Understatement
175,Positive
179,Undetermined
181,Understatement
186,Undetermined
190,Negative
193,Positive
198,Negative
203,Positive
207,Positive
213,Positive
214,Positive
217,Undetermined
218,Positive
221,Understatement
224,Undetermined
222,Positive
225,Positive
234,Negative
235,Negative
236,Positive
243,Positive
244,Positive
252,Understatement
253,Positive
256,Positive
257,Undetermined
258,Undetermined
260,Undetermined
263,Undetermined
264,Negative
268,Undetermined
273,Understatement
275,Understatement
276,Positive
280,Positive
281,Positive
282,Positive
283,Positive
284,Positive
285,Positive
289,Positive
290,Negative
297,Positive
299,Understatement
305,Positive
313,Positive
315,Undetermined
316,Negative
318,Understatement
320,Understatement
325,Undetermined
331,Understatement
330,Negative
333,Positive
334,Positive
336,Understatement
339,Undetermined
342,Undetermined
344,Undetermined
348,Undetermined
350,Negative
351,Negative
356,Negative
359,Positive
361,Negative
365,Understatement
368,Undetermined
369,Understatement
375,Negative
378,Understatement
379,Positive
380,Undetermined
384,Positive
386,Understatement
389,Positive
391,Undetermined
396,Negative
407,Undetermined
409,Undetermined
410,Positive
411,Positive
413,Undetermined
417,Negative
419,Positive
420,Positive
422,Undetermined
423,Negative
429,Positive
431,Positive
432,Positive
439,Undetermined
437,Undetermined
440,Positive
442,Understatement
445,Positive
448,Positive
450,Positive
451,Positive
455,Positive
458,Positive
462,Negative
464,Positive
468,Positive
474,Positive
481,Undetermined
494,Positive
503,Negative
505,Positive
508,Positive
517,Negative
518,Undetermined
527,Undetermined
533,Negative
534,Undetermined
537,Positive
540,Understatement
542,Undetermined
545,Negative
552,Positive
554,Understatement
557,Positive
560,Understatement
564,Understatement
568,Positive
572,Positive
578,Undetermined
582,Understatement
584,Undetermined
589,Positive
592,Understatement
603,Understatement
602,Undetermined
605,Understatement
608,Undetermined
615,Positive
618,Positive
619,Undetermined
625,Positive
633,Understatement
634,Undetermined
635,Positive
641,Undetermined
644,Positive
648,Undetermined
654,Positive
655,Negative
658,Negative
659,Positive
662,Undetermined
664,Positive
666,Positive
667,Undetermined
671,Positive
678,Undetermined
679,Negative
680,Positive
686,Positive
687,Positive
692,Understatement
699,Negative
700,Positive
705,Negative
710,Undetermined
713,Positive
715,Undetermined
720,Understatement
721,Understatement
724,Positive
728,Positive
730,Negative
731,Positive
732,Positive
734,Positive
735,Negative
740,Undetermined
744,Understatement
747,Negative
750,Positive
