id,Response
2,"may be  ""servername/connection/connection.ini"""
3,nice find ! thanks <@Valeri> :taco:
3,"Hi, <@Ouida>! Didn't notice your reply. What seemed weird to me was the difference between what <@Valeri> posted for 3.7.0 and my example from 3.7.1. I wasn't expecting that difference between patch versions"
4,Thanks will read! have a :taco: <@Raven>
11,"I remember someone here linked to a community driven site that links you up with code mentors, for free. Seems I lost that link when my last laptop died. Anyone know the site?"
13,"I am writing a script to click previous, next of datepicker but this code only click back 3 months from January 2019, December 2018, November 2018, October 2018 and loop in October 2018 and cannot click next. Could you help me?; Here is my code; ``` def get_conversion_rate_rp_data(driver,month,year):
    xpath_choose_button = ""/html/body/app-bootstrap/div/div/div/div/div[1]/div[2]/div/div[1]/div/div[1]/div/lego-report/lego-canvas-container/div/lego-component[2]/div/div/div/div/ga-date-range-picker/lego-date-duration-control/control-layout-wrapper/button/div[1]/span[1]/span[1]/main-section""
    driver.get(url_conversion_rate_rp)
    choose_date_button = WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.XPATH, xpath_choose_button)))
    choose_date_button.click()
    xpath_choose_month = ""/html/body/div[12]/div[1]/div[2]/div[2]/table/thead/tr[1]/th[2]/button/strong""
    choose_month = WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.XPATH, xpath_choose_month)))
    print(month_standardize(choose_month.text))
    print(year_standardize(choose_month.text))
    xpath_pre_month_button_start = ""/html/body/div[12]/div[1]/div[2]/div[2]/table/thead/tr[1]/th[1]/button""
    xpath_next_month_button_start = ""/html/body/div[12]/div[1]/div[2]/div[2]/table/thead/tr[1]/th[3]/button""
    times_pre = 0
    times_next = 0
    if year &lt; int(year_standardize(choose_month.text)):
        times_pre = (int(year_standardize(choose_month.text)) - year) * 12 + int(month_standardize(choose_month.text)) - month
    elif year &gt; int(year_standardize(choose_month.text)):
        times_next = (year - int(year_standardize(choose_month.text))) * 12 + month - int(month_standardize(choose_month.text))
    elif year == int(year_standardize(choose_month.text)) and (int(month_standardize(choose_month.text)) &gt; month):
        times_pre = int(month_standardize(choose_month.text)) - month
    elif year == int(year_standardize(choose_month.text)) and (int(month_standardize(choose_month.text)) &lt; month):
        times_next = month - int(month_standardize(choose_month.text))
    print(""time_pre: "" + str(times_pre))
    print(""time_next: "" + str(times_next))
    if times_pre &gt; 0 and times_next == 0:
        for i in range(1, times_pre):
            pre_month_button_start = WebDriverWait(driver, 10).until(
                EC.presence_of_element_located((By.XPATH, xpath_pre_month_button_start)))
            print(WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.XPATH, xpath_choose_month))).text)
            pre_month_button_start.click()
            i += 1
            print(i)
            time.sleep(4)
    elif times_next &gt; 0 and times_pre == 0:
        for i in range(1, times_next):
            next_month_button_start = WebDriverWait(driver, 10).until(
                EC.presence_of_element_located((By.XPATH, xpath_next_month_button_start)))
            print(WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.XPATH, xpath_choose_month))).text)
            next_month_button_start.click()
            i += 1
            print(i)
            time.sleep(4)```; Here is my result when i run; ```get_conversion_rate_rp_data(driver,8,2019)```; ```C:\Users\Admin\AppData\Local\Programs\Python\Python36\python.exe ""E:/Google Drive/Work/Momo/Task/Bot/report/get_data.py""
1
2019
time_pre: 0
time_next: 7
January năm 2019
2
January năm 2019
3
January năm 2019
4
January năm 2019
5
January năm 2019
6
January năm 2019
7

Process finished with exit code 0```"
15,ok
17,*/2 * * * * python /home/ubuntu/CronNeedOpen.py  this file location every 2 min it hits the CronNeedOpen.py  suppose in that particular file some sytax errors are there how to know that file have error where it stores
20,<https://docs.mongodb.com/manual/reference/method/Date/>
22,:thumbsup: never used mongo ¯\_(ツ)_/¯
27,Thanks <@Rocio> <@Maricruz> <@Valeri>  :heavy_check_mark:  solved
33,"hloo everyone
i was using flask and my ``` form.validate_on_submit() ``` not works
here my main.py file


```
from flask import Flask , request , render_template, redirect , url_for
from forms import RegisterForm, LoginForm

@app.route(""/register"", methods=[""POST""])
def register():
	form = RegisterForm()
	if form.validate_on_submit():
		return redirect(url_for('home'))
	else:
		print(""failed"")
	return render_template(""register.html"", form=form)
```

here is my forms.py file


```
from flask_wtf import FlaskForm
from wtforms import StringField, PasswordField, SubmitField
from wtforms.validators import Email, Length, DataRequired, EqualTo

class RegisterForm(FlaskForm):
	username = StringField(""username"", validators=[DataRequired(), Length(min=5, max=20)])
	email = StringField(""email"", validators=[DataRequired(), Email()])
	password = PasswordField(""Password"", validators=[DataRequired()])
	confirmPassword = PasswordField(""confirmPassword"", validators=[DataRequired(), EqualTo('password')])
	submit = SubmitField(""signUp"")

```


and heres my register.html file

```
&lt;form method=""POST"" action=""""&gt;
			&lt;table&gt;
				&lt;tr&gt;
					&lt;th&gt;{{ form.username.label }}&lt;/th&gt;
					&lt;td&gt;{{ form.username() }}
				&lt;/tr&gt;
				&lt;tr&gt;
					&lt;th&gt;{{ form.email.label }}&lt;/th&gt;
					&lt;td&gt;{{ form.email() }}
				&lt;/tr&gt;
				&lt;tr&gt;
					&lt;th&gt;{{ form.password.label }}&lt;/th&gt;
					&lt;td&gt;{{ form.password() }}
				&lt;/tr&gt;
				&lt;tr&gt;
					&lt;th&gt;{{ form.confirmPassword.label }}&lt;/th&gt;
					&lt;td&gt;{{ form.confirmPassword() }}
				&lt;/tr&gt;
				&lt;tr&gt;
					&lt;td&gt;{{ form.submit() }}
				&lt;/tr&gt;
			&lt;/table&gt;
		&lt;/form&gt;
```

please help"
38,"<@Shanon> typically, you're going to use polymorphism for that; so that you either get an `S3Folder` instance or a `LocalFolder` instance, both have a `.delete()` method, and it's easy to manage in every class"
39,"If I'm understanding you correctly, I believe the easiest way to accomplish this is to set ```slack_data``` inside the if block, and use an else to cover the case that there is no keyword found from the color_keywords list; That way the conditional would be responsible for setting slack_data, and you could cover both cases"
39,<@Kiera> thanks but no thanks :slightly_smiling_face:; that DO link looks good ^
42,"I think `title` is actually a function, not a property."
46,"<@Hai> in general:  JSON = JavaScript Object Notation.  It uses JavaScript syntax to describe an ""object"" (which is represented in Python as a dictionary).  Objects contain keys which are strings (and only strings) mapped to values which may be numbers, strings, objects, or arrays of numbers, strings, objects, or arrays.; in order to produce valid JSON, you need to produce a dictionary which has string keys and values of the appropriate types described above, and feed that dictionary to `json.dumps`."
48,<@Chad> that’s up to you; `df` would be your data frame; here’s the documentation for that method <https://pandas.pydata.org/pandas-docs/stable/generated/pandas.DataFrame.to_sql.html>
48,"I am able to create SQLAlchemy models for existing database tables and then create an initial migration (the create and drop table script) with Alembic - is there an easy way to autogenerate the models if I do not have a database table with an existing schema?; for example, reading a file with pandas; or reading a directory of different files and creating a models.py file which I can then go into and edit, add primary keys, schemas, etc"
51,turns out it has to do with my openssl version python3 was compiled with :gun:
53,no working; i had been trying that work it; I had been trying to make it work
54,My actual data in my web page is a decimal 10 but when I try to implement get request the output is b10 and I want to perform arithmetic operations on the data but I am not able to perform since the data I obtained was a binary one#help
60,use the date as the unique identifier.
60,"Alowa, anybody out here who can help me for 5 mins in a private chat window with beautifulsoup and some list problems. Spent an awful lot of team reading in the big O-reilly book, stackoverflow and what not but cannot seem  to grasp the concept (clean up data from nested list and writing it to a file)"
62,<https://www.w3schools.com/python/python_for_loops.asp>
63,"Hey! 

I'm currently trying to clean up my Instagram hashtag scraper to use less indentation and more functions or subroutines. Right now I'm cleaning up my .csv writer but somehow my header is printed multiple times. 

Anyone willing to have a look to help identify my issue? "
64,"<@Lucius> It already looks okay in terms of indentation level. Certainly you could factor out more functions, but I'd say it would be your choice of how to do it. Find any bit of code that looks like it could be self-contained, create a function from it, and only return whatever is needed for the next part of the program"
68,"so, I’d advise not using it and use the suggested `pipwrap` lib <@Rufus>"
71,"Ideally you would want to add the data to the Counter in a loop directly from the file, rather than storing everything in a list first, since that will obviously require as much memory as the file size or more."
71,"Personally I'm not a huge fan of awk, except for the occasional one-liner. Many people will find well-written Python to be more understandable.; No particular bottlenecks with the length of lists, but some operations, like insert and delete, will get slower linearly with the list length, so if you do that a lot, you may want a different data structure."
73,"<@Jennifer> Gonna try to creep up on this slowly, because you are getting object __str__ in the output, so things might go sideways. First try:; ```
print("","".join([h for h in hosts]))
```"
76,What is the prefered way to distribute python programs?
76,"<@Bart> Also try VS Code for Python. It's open source, and is quite good: <https://code.visualstudio.com/docs/python/python-tutorial>"
76,"<@Harvey> for other developers, create a package. Try Flit: <https://flit.readthedocs.io/en/latest/index.html> or Poetry: <https://poetry.eustace.io/> . Use them to package your code and to publish it in <https://pypi.org/> . There are many tutorials using `setuptools` and `setup.py` files, but for new packages is way easier to use these new tools.

For web applications, I suggest Docker.

For desktop applications, try PyInstaller: <https://pyinstaller.readthedocs.io/en/stable/>"
77,"*Create an MP3 file from samples?*

Hi all, I'm a total newbie to Python (I'm a JS developer), but I have a specific task I'm trying to achieve with it....
I want to create an MP3/WAV comprising of an audio clip that is repeated at specific time intervals (which are taken from an array of microseconds that I already have). This is for usage as a drummer's click track.

Basically I need to load an MP3/WAV clip, loop through the array of microseconds, set the clip at these times and then output a single MP3 file.

*Is this possible with Python?*

I've looked at several audio libraries such as Librosa but can't find any hints on how I could achieve this!
Thanks!"
78,"<@Jettie> Thanks, just read the documentation but can't see a clear way of doing this. Is it something a beginner could achieve?"
82,Knowing how to ask a good question is a highly invaluable skill that will benefit you greatly in any career. <https://stackoverflow.com/help/how-to-ask> is a good collection of suggestions and strategies to help you structure and phrase your question to make it easier for those here to understand your problem and help you work to a solution.
82,"im still so speechless, and when im speechless i need to take a week or a year off, better yet why not until 2025,
but that spechlessness has led to discover this 20m long youtube analysis (rated at ~99% by a relatively large sample size for this topic) of how bad the *UI* of this highly specialised music software is.
i only slimmed thru it, but most ppl would *greatly* benefit from it far more than i would,
enjoy <https://www.youtube.com/watch?v=dKx1wnXClcI>"
82,...
89,"What would be a good catch method for text entries? This code currently outputs the text entry that needs to be fixed, but it doesn't notify which entry. There are 4 text entries and I need the catch method to define which variable is error-ed out?"
90,"Hi every one, I need your help.. I am trying to output the difference between two csv files using this MYSQL query in the python script. when I try this query directly in AWS Athena UI, it output all differences, while running it through this script, it just output but not everything."
91,"```python example.py
07.01.2019_20:04 Instabot v1.2.0 started at 07.01.2019 20:04:

07.01.2019_20:04 Trying to login as catgirlsnails...

/Users/alif/.pyenv/versions/2.7/lib/python2.7/site-packages/urllib3/util/ssl_.py:354: SNIMissingWarning: An HTTPS request has been made, but the SNI (Server Name Indication) extension to TLS is not available on this platform. This may cause the server to present an incorrect TLS certificate, which can cause validation failures. You can upgrade to a newer version of Python to solve this. For more information, see <https://urllib3.readthedocs.io/en/latest/advanced-usage.html#ssl-warnings>
  SNIMissingWarning
/Users/alif/.pyenv/versions/2.7/lib/python2.7/site-packages/urllib3/util/ssl_.py:150: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. You can upgrade to a newer version of Python to solve this. For more information, see <https://urllib3.readthedocs.io/en/latest/advanced-usage.html#ssl-warnings>
  InsecurePlatformWarning
Traceback (most recent call last):
  File ""example.py"", line 52, in &lt;module&gt;
    unfollow_whitelist=['example_user_1', 'example_user_2'])
  File ""/Users/alif/Downloads/instabot.py-master/src/instabot.py"", line 236, in __init__
    self.login()
  File ""/Users/alif/Downloads/instabot.py-master/src/instabot.py"", line 304, in login
    ui = UserInfo()
  File ""/Users/alif/Downloads/instabot.py-master/src/userinfo.py"", line 29, in __init__
    self.hello()
  File ""/Users/alif/Downloads/instabot.py-master/src/userinfo.py"", line 34, in hello
    main = self.s.get(self.url_list[self.i_a][""main""])
  File ""/Users/alif/.pyenv/versions/2.7/lib/python2.7/site-packages/requests/sessions.py"", line 546, in get
    return self.request('GET', url, **kwargs)
  File ""/Users/alif/.pyenv/versions/2.7/lib/python2.7/site-packages/requests/sessions.py"", line 533, in request
    resp = self.send(prep, **send_kwargs)
  File ""/Users/alif/.pyenv/versions/2.7/lib/python2.7/site-packages/requests/sessions.py"", line 646, in send
    r = adapter.send(request, **kwargs)
  File ""/Users/alif/.pyenv/versions/2.7/lib/python2.7/site-packages/requests/adapters.py"", line 498, in send
    raise ConnectionError(err, request=request)
requests.exceptions.ConnectionError: ('Connection aborted.', error(54, 'Connection reset by peer'))``` how do i solve this error"
91,Does anyone know how to get pycharm to NOT run scripts in the python console and instead run them in the actual run portion
92,"<@Kristy> I’m not really sure how athena works, but maybe it’s pulling different files?; <@Gianna> looks like you have SSL issues. Make sure your openssl is up to date"
93,did you goto that url?
93,`BASE_DIR = os.path.dirname(os.path.dirname(os.path.abspath(__file__)))`
93,ah'; have you begun to look at the log files?
93,Would it be alright if I ran it on port 8020? There’s a wordpress site being displayed on port 80. My Django proj is just backend stuff; they already had apache on the server so it seemed easiest
95,wtf
95,"apparently, they are gone again.; like, i realize that i was brash, but i definitely answered his question before i laid into, be a better human because you currently suck."
101,"I can't answer your question, but do note that `outputsize=compact` would give you only the 100 most recent data points, so maybe that will be easier to merge than getting the whole history every query."
110,None; got it thank you every one
110,okay I will try out (with); thank you all for helping
112,booo
113,"There may be an easier way to do this if there's a ""blank Q"" object to start with. Or maybe do a reduce with operator-OR."
120,What should I learn in Python to get a good GUI for my output; ?
123,Why are you using `json.dumps()`?; What does `cur.fetchall()` give you?
123,```TypeError: argument of type 'datetime.datetime' is not iterable```
130,"<@Leonore> <http://weworkremotely.com|weworkremotely.com>, <http://remotepython.com|remotepython.com>, keep an eye on the Hacker News who is hiring thread. (<https://news.ycombinator.com/> the Who is Hiring thread posts on the First workday of every month. Here is January’s <https://news.ycombinator.com/item?id=18807017)>"
130,"Hey guys,
I have an imminent requirement to learn AWS Elasticsearch within a week. Something urgent has come up.
How do you recommend I go about doing that so that I have some know-how about how to architect my database considering the nature of my data which I already have."
132,"as you get comfortable, i’d start researching topics on how to properly structure your schema to get the best performance for your data.; implement a new schema and play with that while using data.; id start with that anyways"
138,ty
140,"def is_pangram(sentence):
    alphabet == ''
    sentence == input(""What is the string we would like to take in?"")
    for i in sentence:
        if i in alphabet:
            pass
        else:
            i += alphabet
    if alphabet.lower == ""abcdefghijklmnopqrstuvwxyz"" or ""abcdefghijklmnopqrstuvwxyz "":
        return True
    else:
        return ""fail""
print(is_pangram("""")); This returns true for me every time. Would anyone be able to tell why?"
141,"Is constructor overloading is possible in python via this way?

Getting error in PyCharm Console

Traceback (most recent call last):
  File “/Users/abhishekthapliyal/PycharmProjects/Basics/venv/SourceCode/PyClassDemo.py”, line 23, in &lt;module&gt;
    test = Test()
TypeError: __init__() missing 2 required positional arguments: ‘name’ and ‘age’"
151,"Thanks, i’ll check it out. <@Lydia> :taco:"
151,"this is cool, but horrible in my opinion...; doing too much sorcery with Python makes the code very hard to read"
155,"you could be correct; &gt;Last image is skipped
&gt;It may appear that the last image is skipped or displayed for one frame. I did not find an elegant solution to this behavior, but you can simply make a copy of the last image file to compensate.

Gross i was trying to avoid that"
155,<@Jettie> :taco:; perfect; the pause between frames must have been the issue
158,AFAIK Decimal is the best best
161,"<@Shan> yeah, looked into Poetry. Would be OK with using this, but I'm still equally unsure of how to do what I'm asking. There doesn't seem to be any option or section of the toml file or anything that relates to saving private user info. Also doesn't really help with best practices for saving stuff like this (should it be saved in a user directory, and the package should just expect them to be there? or...)"
163,"Always be sure to think about the consumers.  Honestly, the biggest deterrent of most things, ease of use.  If you require some complexity in your configuration, outside of the standard norms, it may not be appreciated and used as much.  "
168,"Does this not work for you?
<https://stackoverflow.com/questions/19425736/how-to-redirect-stdout-and-stderr-to-logger-in-python>; I've got a LICENSE question.

Say there's a project on Github which I'd like to fork (from a particular commit), and I'd like to pursue a different approach to what the original author intended. I intend to make some of my own changes to how it works and name the project slightly differently to distinguish it from the original (just by appending a suffix after the original name).

Is it legal to do so?

For reference, the license is here: <https://github.com/jfinkels/flask-restless/blob/master/LICENSE.BSD>"
169,I'm not a lawyer or anything but afaik it is if you don't change the license; but it might be interesting to discuss with the original author if a fork is really necessary. Maybe they are willing to add what you need in it ?
170,Normally without thread it is running fine
172,"from sklearn.datasets import load_iris
from sklearn import tree
import graphviz


iris= load_iris()

clf= tree.DecisionTreeClassifier()
clf.fit(iris.data, iris.target)

input= [[5.9,3.0,5.1,1.8]]
flower= clf.predict(input)
print(flower)


data= tree.export_graphviz(clf,  feature_names=iris.feature_names, class_names=iris.target_names, filled=True,rounded=True,special_characters=True)
print(data)

graph = graphviz.Source(data)
# graph.render(""IRIS TREE"")
# graph.view()"
175,"I think i see what you're saying. So instead my if function should just test to see if i is a in the alphabet. And i was wanting to add i to alphabet if it wasn't already in there. So now i have this. It's still failing but hopefully i'm closer to the right idea now.                                                                            def is_pangram(sentence):
    alphabet = ''
    alph = ""abcdefghijklmnopqrstuvwkyzABCDEFGHIJKLMNOPQRSTUVWXYZ""
    sentence = input(""What is the string we would like to take in?"")
    for i in sentence:
        if i in alph:
            alphabet += i
        else:
            pass
    alphabet = alphabet.lower()
    if ""abcdefghijklmnopqrstuvwxyz"" in alphabet:
        return True
    else:
        return False
print(is_pangram(""""))"
179,Is there anyone here familiar with SQLAlchemy?
181,And there's also <#C1PB8ME48|sqlalchemy>
186,Hi all. I have a problem. I am trying to model users in my application and only one kind of user has a relationship with a model called `Department`. Basically the user in question belongs to a department but other users of the application don't need to have a relationship with a department.; How do I model the different users? Should I have a different model for each kind of user or is there a way to model this while using one `User` model?
